variable_id,mz,rt,QC_01,QC_02,QC_03,QC_04,QC_05,QC_06,QC_07,QC_08,QC_09,QC_10,QC_11,QC_12,S_001,S_002,S_003,S_004,S_005,S_006,S_007,S_008,S_009,S_010,S_011,S_012,S_013,S_014,S_015,S_016,S_017,S_018,S_019,S_020,S_021,S_022,S_023,S_024,S_025,S_026,S_027,S_028,S_029,S_030,S_031,S_032,S_033,S_034,S_035,S_036,S_037,S_038,S_039,S_040,S_041,S_042,S_043,S_044,S_045,S_046,S_047,S_048,S_049,S_050,S_051,S_052,S_053,S_054,S_055,S_056,S_057,S_058,S_059,S_060,S_061,S_062,S_063,S_064,S_065,S_066,S_068,S_069,S_070,S_071,S_072,S_073,S_074,S_075,S_076,S_077,S_078,S_079,S_080,S_081,S_082,S_083,S_084,S_085,S_086,S_087,S_088,S_089,S_090,S_091,S_092,S_093,S_094,S_095,S_096,S_097,S_098,S_099,S_100,S_101,S_102,S_103,S_104,S_105,S_106,S_107,S_108,S_109,S_110,S_111,S_112,S_113,S_114,S_115,S_116,S_117,S_118,S_119,S_120
M392T716_NEG,392.20757942549494,716.44671630859375,830454.0814012263,NA,669360.794142852,888535.9139296896,650991.4833565864,601705.4032778995,769230.5164542448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1754698.4419145475,NA,NA,NA,7702287.936921887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8795298.891757173,NA,4443031.260844668,NA,239548.70554101534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8634437.838286832,NA,NA,NA,NA,NA,635768.8041155149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M393T536_NEG,393.2281369837809,536.29998779296875,4011780.1021367013,4035699.927559991,3785402.368039068,3685523.2920460855,4300274.354320314,4255993.450031263,4897802.68064371,2060839.149811518,NA,NA,4205478.26324609,3769130.591187518,NA,NA,NA,23292466.489707354,6409436.56014844,15396509.013593744,NA,NA,NA,NA,NA,NA,NA,25795993.333889518,4287412.4643369345,NA,19379728.043280624,2692157.8037168193,NA,NA,4684362.405920312,NA,NA,NA,2526774.3424827955,5000916.805959392,2964945.2928234353,NA,NA,NA,7933021.737534177,6991780.473514032,5745074.48601952,5457092.198201157,NA,NA,NA,NA,NA,NA,2521909.162181631,NA,NA,NA,48633791.6117309,1716384.4143718726,15088571.358897906,27026377.35654689,NA,NA,NA,3029374.943871098,NA,NA,NA,5288246.18440468,NA,NA,NA,6113076.808316739,7148726.724137626,9169223.073346905,1810821.9653124886,3854030.6592614395,NA,NA,2738152.435721382,NA,NA,NA,1748259.7015195314,1155907.5543671956,NA,NA,NA,NA,NA,2589569.0063064573,NA,NA,3934407.1638828083,NA,2305872.1225286475,4851673.404225771,NA,1719436.9980367108,1599664.7132640579,NA,NA,2650285.504259753,4274704.716747068,1647715.4943356945,3747041.176328121,NA,9849489.309541672,NA,NA,4584482.661364439,2632041.941695305,6666553.591746072,NA,NA,NA,819669.9083276917,NA,32841354.44416677,3021669.2587718866,5573711.071578114,NA,NA,NA,1053878.161470709,2483849.101271474,1443100.9870341765,NA,4854740.876050752,1090193.376835934,2724674.4443632867,627979.5496607102
M401T108_NEG,401.10826431458986,108.4295883178711,2017032.4075488287,1135234.0577500002,NA,NA,1517426.454200195,2172797.614041193,NA,1338569.2261439736,NA,NA,1951149.7725039066,2258999.6024304684,NA,NA,NA,NA,6275356.019243051,NA,NA,NA,1222563.7897446288,NA,NA,2123287.04713125,NA,4613976.443949219,NA,NA,NA,NA,1380903.56574219,NA,4442213.377113282,4622234.971638673,NA,NA,NA,1422218.2786171879,NA,NA,NA,NA,NA,1699225.4044804666,NA,NA,NA,NA,853050.7318697913,NA,NA,433884.7000390621,NA,NA,1232358.0937918536,NA,4313489.825951703,NA,NA,5930880.423840909,NA,NA,NA,NA,NA,1810434.3821582033,NA,567932.88475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588322.6018313792,1862289.0705249982,NA,NA,NA,NA,820323.306616072,NA,NA,NA,NA,NA,NA,1013549.193384766,NA,2112531.4393828134,NA,NA,NA,5309328.028469444,NA,NA,NA,NA,NA,NA,803172.7503482151,578466.6371914058,1668468.9087120532,NA,NA,NA,NA,NA,NA,NA,NA,NA,3192704.560453124,NA,450851.2169966522,2354406.9228125014,NA,NA,NA,1104795.4917708323,NA,NA,644811.7561113273,769289.4087812513,NA
M401T619_NEG,401.2332506803293,619.49761962890625,2503581.924394331,3830344.0980798476,3891410.8837270797,3234247.400972658,3716961.4426187426,2851242.2482499923,2854669.467502353,2929768.2451599734,2212103.281498703,3479464.7972669327,3418563.6040846794,3519981.102626649,NA,2551607.0216415315,NA,8824620.889721513,NA,NA,5620571.88990896,NA,NA,NA,NA,NA,NA,6412451.896280705,NA,825302.0128125037,NA,2730865.3538486403,1694049.7210742119,NA,NA,NA,NA,NA,NA,3927597.181987504,NA,NA,NA,NA,2188404.7257756656,NA,NA,3644481.006164456,NA,NA,NA,NA,NA,6483017.604426653,NA,2234132.0022741463,4899856.923656269,NA,7223835.719757417,1068499.6759884509,5402064.128391925,7066397.80019028,5761260.287964836,NA,3826748.650401368,NA,NA,NA,NA,3668337.8560156273,NA,NA,NA,2274009.6928828205,2409836.03241645,3344190.6657828004,NA,1872181.763299804,NA,NA,NA,NA,NA,NA,1486260.4197336868,NA,NA,NA,NA,NA,NA,NA,NA,3699141.1432562987,9811922.640549986,6292069.9218388805,3886865.6304919682,3528919.3551302985,NA,NA,NA,NA,NA,NA,2692039.1405555485,NA,NA,2164323.0520210853,4762425.307053117,1043500.4419440135,3121539.340691416,9420773.872405535,30688109.97038499,2863870.960095204,NA,NA,NA,380919.2004464297,NA,NA,2910771.491761369,6572221.997327278,4134571.7217809935,7372238.507384174,1599599.8241152333,NA,5811424.664449454,2342603.4667089796,NA,1874964.6146503934,NA,4705978.235735798,NA
M401T670_NEG,401.23333551950384,669.59173583984375,2836970.464857139,3973699.6625906187,2989226.058307093,3924784.7137722974,2350329.355727428,5037464.397584092,4517230.779241757,2913855.873779294,2768118.1974277426,4036692.8890310507,3788504.7535056286,4831697.192368869,NA,NA,NA,12667196.634429622,NA,NA,6967904.796989131,NA,NA,NA,NA,10825369.489893414,NA,17352741.610937506,NA,NA,16699599.674312277,1410780.467569441,NA,NA,NA,NA,NA,NA,NA,4532488.598075124,1930133.4689179827,NA,NA,NA,NA,NA,6200251.104099008,4902301.736346101,NA,NA,NA,NA,NA,11976604.210864965,NA,833278.6835013013,4707359.767423367,NA,8489415.891323932,NA,2229967.6097148545,8617605.761922749,5327468.588907453,NA,2394672.9945664033,NA,NA,NA,NA,4332632.652107196,NA,NA,NA,NA,5373189.560672243,5575519.486341169,NA,NA,NA,NA,NA,NA,NA,2622897.8498691465,NA,NA,NA,NA,NA,NA,NA,NA,NA,8147665.752720699,5845882.839433594,4710819.290806804,2822530.538241545,1762354.0304277323,997779.690343506,NA,1366546.3911793393,5054734.027267143,NA,2434338.587967417,NA,NA,1397498.8135937597,NA,8811068.796689587,NA,3609941.4955371097,6209281.221508609,14422638.982125001,NA,NA,NA,NA,NA,NA,5937246.158527658,3069972.1257876633,5125189.004608156,4430057.950866257,5993399.362625013,1912385.375906494,NA,7124766.879942531,3869237.9877018197,NA,3396612.314902351,NA,8393205.02674764,2997163.3748797905
M407T543_NEG,407.2076163228642,542.720458984375,3098759.862931636,4670846.809643226,2866103.8975817394,3899756.4928224487,2939883.592734371,3205250.049890626,2937587.3448011256,NA,NA,3445366.493479878,3098149.228240061,2727867.6182187377,NA,426119.55955078534,NA,11731975.189593758,3959969.894812507,13212298.870738642,9141703.476937482,NA,NA,3107146.886109374,NA,5088031.3972359365,NA,44403198.672266774,NA,NA,18198629.221052635,NA,NA,NA,3255518.390062491,4832921.075347916,NA,2258819.08549427,4558956.955118065,3992672.445645941,NA,NA,NA,NA,NA,12392232.10997267,7532807.675098739,2854743.65681164,NA,NA,4188610.1369226626,NA,NA,17464435.064268727,1504113.901113271,NA,3678187.0301506724,NA,23940473.120815147,NA,NA,19767948.435480777,5403548.042187486,NA,NA,2335665.1374562588,NA,NA,NA,2808345.3848434314,NA,2932444.8161527007,NA,6315555.976639998,5457559.136760963,6855540.798014777,NA,3574968.6445429814,NA,NA,NA,NA,NA,2708696.20508639,NA,NA,NA,NA,NA,NA,NA,2701957.155985437,NA,8594960.592496863,4762039.157628666,15668172.883377727,2106321.668585454,NA,NA,2112745.1659257747,1253302.9155208336,NA,NA,NA,3606975.234562498,1539846.7551932037,NA,1159188.9406241865,15563130.97177346,NA,NA,3026788.4724046984,NA,NA,NA,NA,924316.0147812526,NA,NA,18280982.92580347,4918168.094343729,3863780.5743468637,NA,4144703.5070829256,2561113.9165748786,NA,8181611.997982919,1088322.8448081543,NA,4519080.529175558,1148461.962002657,3910178.21532813,NA
M417T527_NEG,417.1191906467059,526.63726806640625,NA,3234679.549087494,2749802.47165157,3149913.98629557,3350147.3507812354,NA,3907615.930440536,1267747.3868429707,1288920.18912382,4222766.849931165,NA,3407683.792471878,1898686.5767187446,2053523.8498398387,NA,NA,5137941.961384365,NA,10094571.459740223,NA,NA,NA,4220398.1348304255,6933403.81891405,NA,NA,3783057.5029620496,NA,4261034.0844050525,NA,3267307.517302812,3275033.1687949295,6034081.666112529,1794640.2784242178,NA,1619751.0562318368,NA,4126820.560121884,3273201.4583854894,NA,NA,3342191.0711414167,1433254.5346513665,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808049.665188058,1492131.8585901891,NA,NA,NA,423764.3670883108,NA,6629904.869285129,NA,NA,2755644.20644502,NA,NA,NA,NA,NA,NA,2708031.366789999,1298220.9573867226,NA,847972.7216442329,NA,NA,6833885.804684312,548671.226054612,NA,NA,2120997.1781402556,NA,NA,NA,NA,852608.4670980051,NA,489575.638414453,NA,867753.5832812508,1583179.8813187534,1225734.125172766,NA,NA,NA,6129364.543861562,NA,NA,NA,NA,9694687.50601137,2786702.5399387893,NA,2623608.6977725546,1061549.5627276106,4889703.708440106,NA,NA,NA,NA,3476424.519175774,NA,NA,NA,NA,NA,NA,NA,NA,3810212.9851532388,4279414.235673555,3698418.7357734363,NA,NA,NA,3723242.4353515655,NA,NA,NA,NA,NA,NA
M459T486_NEG,459.223032224461,486.12049865722656,1123727.6241210955,1462549.3840335938,1392922.7498060537,1321860.9935092344,1223863.4448477782,1274452.4467558619,1360784.386701925,2932031.541961284,2716017.434350859,NA,NA,985637.810362848,NA,1670805.7244218718,4893122.8066811,2648355.765877597,NA,2710817.6945781275,2934439.7856160705,793261.3432851564,1077143.5295156243,1194511.0061879866,1054360.2047480487,2958796.6500961743,NA,1154913.0670546887,1169439.0941577556,2196766.0135083008,2808872.9369930965,1717912.369401226,2334974.2142945076,906009.4999242199,3802613.168670203,2131910.2307745614,326212.600650669,1558943.9801021474,276066.09867968765,NA,600878.2068007822,216908.6482234377,1575554.7877038007,2079426.4983593752,NA,2210147.835756748,562909.5744609365,625229.4682187501,NA,495263.28002343746,330955.1726562507,NA,NA,284870.8555058599,307382.2124641931,485842.32396419346,829800.6426215823,823145.950042968,580066.4414817694,1067929.579535481,2752353.5158806792,1659854.7591562513,NA,NA,1636920.4738085878,1009011.0253124954,1793739.755843751,1473329.0209218771,140820.47719453124,NA,NA,642189.9565722662,342673.9250708,1191087.7211491715,1657315.0458333336,1861910.7934166691,2322610.712137068,1910504.0329982655,NA,NA,NA,434779.5355080937,NA,1622174.5260751946,909388.6189453129,301289.9307929696,165378.47653750022,NA,NA,4572545.626977282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2325751.967306919,1194359.4636093741,556890.4115624984,197928.4650963542,NA,NA,1346761.6661818142,NA,NA,NA,NA,NA,6802668.628968751,NA,NA,NA,NA,NA,NA,NA,1106934.6513204155,NA,NA,288092.0575502921,NA,NA,NA,NA,NA,NA,NA,NA
M499T691_NEG,499.3059729467605,691.4758605957031,5856921.459629488,6807614.910128116,NA,NA,6445391.275473937,5285035.207337469,6667152.489870765,NA,NA,NA,6259728.030468781,NA,NA,NA,NA,NA,NA,NA,NA,9557678.303020798,NA,NA,15748842.035638994,NA,NA,NA,NA,6488628.162631411,NA,NA,5780980.342395829,5065897.469825135,NA,7471547.502622773,NA,NA,NA,31176946.408433724,23165881.008060157,3424609.0839707083,19421598.388029408,10968412.392014531,NA,NA,NA,164838225.1620251,NA,3645622.178206786,5380485.140392549,NA,NA,8066336.467412254,NA,NA,2820160.415469208,5471260.850437003,NA,3292955.7809179923,NA,NA,NA,NA,7347387.914891825,19680269.047676533,11211694.78618421,10708611.055856178,NA,NA,NA,NA,NA,NA,NA,NA,NA,14205724.918199997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71816775.06361409,NA,4185275.3670234606,NA,NA,6036902.795467105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2994644.0564345727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5106058.338673946,NA,NA,NA,NA,NA,NA
M499T708_NEG,499.30593844213894,707.79840087890625,7131162.316705923,NA,8282763.7442140095,8886063.236238295,NA,5790309.213140628,NA,NA,NA,7487588.206520094,9175943.463984348,NA,NA,NA,6781536.22869422,NA,25404150.097914554,18214781.683976043,NA,5777782.47868271,NA,NA,NA,NA,NA,NA,13187063.576584786,NA,NA,NA,NA,NA,16683443.319523143,10004057.536330735,450032.9365555252,NA,9162749.360102952,NA,NA,NA,NA,NA,NA,NA,21253099.188777342,NA,NA,NA,NA,NA,994753.397292612,NA,2963981.0742114494,NA,NA,NA,NA,NA,13582932.223469118,NA,NA,NA,NA,NA,NA,NA,NA,4963984.032785652,NA,NA,NA,NA,NA,NA,14215248.01235703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12860057.041965533,NA,NA,NA,NA,NA,3782185.7727854,NA,NA,NA,1448679.6734681893,15333584.430720123,NA,NA,NA,7615787.5519993035,15372768.113714276,NA,NA,NA,1177065.3452730225,297667.3696953127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2856457.1870156266,NA,5324741.133661635,710248.4659941394
M501T662_NEG,501.32233146281453,661.84075927734375,10988008.357828077,17987492.52863984,13963997.5139843,22314921.160831604,12679980.481272845,NA,16282037.642964879,NA,NA,12767290.91044745,12698004.132801099,NA,NA,16057853.518655188,21311036.722317714,NA,NA,66287982.847568125,NA,24885970.06692189,54705076.31966269,NA,NA,NA,NA,NA,25179388.55899484,21656215.839162495,NA,25677062.08960812,NA,13406789.515980138,70286039.11637117,NA,NA,NA,NA,30454048.063557625,15378340.346727293,13248510.623492174,25578459.784653403,18799251.021042634,NA,NA,NA,NA,NA,4466074.295016301,NA,NA,NA,NA,NA,NA,NA,11680258.651943125,NA,NA,NA,NA,NA,NA,NA,27265339.504277647,NA,22248281.153607894,3729571.6047843774,NA,NA,NA,NA,NA,NA,NA,NA,34760850.24267188,NA,NA,23466183.31397658,NA,NA,NA,NA,NA,NA,NA,NA,39789272.0558409,NA,8380771.623665623,NA,NA,NA,NA,NA,NA,3405995.2400804693,NA,3118854.3964367206,NA,NA,NA,8783263.530330515,9185667.65955772,NA,NA,NA,NA,NA,20536921.704445288,10275102.891379846,107405678.55947775,NA,NA,NA,NA,NA,NA,NA,6231671.653052084,NA,NA,NA,NA,NA,16267151.319034273,NA,NA,NA,NA,NA
M501T706_NEG,501.3220600503985,705.7866516113281,16378685.919910405,15282133.959799107,17910107.17285642,17164886.713086292,15745192.252916865,15563072.946370203,14572028.097214306,NA,NA,16810087.854280382,NA,14381407.749333335,NA,NA,17181339.9487793,53773866.36540244,48210427.233910635,71655068.85199994,NA,NA,NA,NA,15240011.860663494,NA,NA,NA,27416680.67536379,NA,NA,NA,11887061.701876685,NA,NA,39921161.55775174,NA,NA,8391326.67203489,33717648.331366204,NA,NA,NA,17276037.418500047,NA,NA,29102729.65727675,47020352.04181752,NA,NA,10143376.503986392,NA,NA,15413727.004041074,NA,11336630.951410804,NA,NA,NA,NA,35005542.15404248,NA,NA,NA,8610117.623691415,30447584.398606475,12836601.056576721,NA,NA,13286790.030024506,NA,NA,NA,NA,NA,NA,24703653.730129916,52742072.766494885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19077493.297500014,NA,NA,NA,NA,7429330.926037105,4228411.964501958,NA,9608992.420523418,NA,NA,6594940.126143943,NA,NA,NA,NA,NA,NA,NA,42095224.31388821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3964808.357587904,NA,NA,NA,5394847.063168257,NA,NA,NA
M503T660_NEG,503.3378812006211,659.6766357421875,NA,47848916.285610065,62288454.59478074,NA,NA,58558696.38178114,63905035.380576976,NA,NA,64165916.85315854,64752399.60802519,NA,14170142.673656281,NA,NA,132420730.1177863,373520986.8003861,373123030.4074296,NA,102668540.86983822,NA,NA,32198382.13418017,NA,NA,45746783.13054829,89451288.13175909,75221854.23423213,NA,122880951.61095917,NA,NA,213273474.99424395,NA,NA,44024456.657671966,25500637.386747308,NA,76032967.34807809,28336119.74926319,NA,133252658.24486218,NA,NA,79394842.1632396,65913433.97904381,1518200.9644482434,NA,NA,NA,NA,NA,23552124.365120597,NA,NA,NA,NA,54690849.32714977,150590841.2786533,82830607.635825,NA,NA,NA,NA,53431384.79521495,75395117.31219876,11232117.450550973,NA,NA,NA,NA,NA,NA,NA,122559670.94660714,147157037.8398745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14824208.665622199,NA,NA,15112641.204965292,NA,15368055.532528434,NA,NA,NA,NA,NA,NA,NA,13812115.323883941,14259153.246916104,NA,3062982.4818359236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240615596.87090546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M504T660_NEG,504.34099619628984,659.68902587890625,NA,19741276.983998355,13759054.637062538,NA,NA,20211089.192727737,12266145.254923437,NA,NA,15600802.604343792,20422650.427969832,NA,3089986.36816543,NA,NA,37962022.15829004,NA,121408941.09665659,NA,24493510.860863294,NA,NA,NA,NA,NA,14820011.8228318,30075172.597188406,NA,NA,36582626.52252391,NA,18897748.90898648,56391394.83756422,35532166.81970314,NA,18727813.50912781,NA,NA,20756153.042830303,8304013.925870429,NA,42719899.35773491,NA,NA,25325864.63869271,21181551.706863303,NA,NA,NA,NA,NA,NA,4783004.920644806,NA,NA,18133116.83552632,NA,25433144.90305993,45008534.6480516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38952745.120024644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32640263.51764282,NA,4907657.42767946,NA,NA,NA,NA,4715538.070870721,2617904.552143214,NA,NA,NA,NA,NA,NA,4509828.800124992,8758134.864896476,NA,762473.9456637087,NA,NA,NA,16775984.641623596,4452120.116138657,83853452.2789316,NA,NA,NA,NA,NA,67884880.74453375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4048121.8746601497,NA
M515T692_NEG,515.3008353853163,691.9648742675781,10637791.164492216,10298954.336177472,10949436.047269544,9297180.899587901,12304594.9202461,8978522.285575747,10702909.297988264,NA,NA,13469951.199771622,13106996.922249988,11044725.798278306,NA,25981840.4664037,7407136.606617201,28889037.04492364,NA,15583641.86216519,NA,NA,12485187.315208964,NA,45660215.9504835,NA,NA,18331835.01963578,22586911.959468763,11547823.881699177,20936769.21768749,18828545.41938332,12765482.819201386,13784779.384168608,12815482.17706768,13522030.988589888,NA,11958996.830200195,NA,61311620.58613029,63688108.21499492,NA,42804331.93330064,25086085.495089155,NA,NA,18542381.973306365,246091989.43437558,NA,NA,14721951.663885389,334444.7698199365,NA,17987310.02065436,NA,6558102.877197262,5747869.3688823795,11084135.859900905,22762251.713272385,7113764.367846801,26163338.949327912,22855774.419590894,11293386.102818867,NA,18334669.324339245,35203007.57242645,18583292.01574992,NA,NA,7783383.065757799,186353.85478454502,NA,NA,7446713.216531271,10276378.070129564,13957952.69933998,23127675.62252208,38991883.78607515,NA,743518.3570677084,7549996.442424322,NA,NA,NA,3130136.234609381,NA,NA,NA,NA,163531156.81842402,1628362.8639965872,9183178.423100026,NA,NA,10027402.599274373,4227727.980395098,NA,9399489.509643758,NA,6808380.845820599,8219285.4278400345,NA,NA,NA,9019161.258936398,NA,4385285.23399999,NA,28115494.20861331,NA,2827372.6972986734,5149679.171574877,10939471.670503614,NA,NA,NA,NA,NA,NA,21594382.695386685,NA,NA,NA,NA,NA,NA,11641379.91419039,21697433.73068635,NA,5909010.909848969,NA,NA,NA
M519T620_NEG,519.332158494664,619.517578125,20704097.123437434,19983744.260332037,19326357.262369715,22627404.718833324,18368157.585492108,22502767.7554531,21546576.775280353,NA,8910344.054296872,20902583.37742698,21942086.433216784,22264544.530781753,12261553.48509486,14872617.254876507,21152974.981767606,75540440.55150405,136109513.77946025,157234445.39711133,NA,NA,62027990.89592873,NA,19352194.42393224,NA,NA,93285310.25848724,52614793.97578131,27299289.16649949,108381910.94124226,58498291.15576171,21973695.17925693,19837904.138851546,91446927.419461,62954972.08732719,NA,28221927.21516294,13414918.744201167,27806849.861999992,27862245.38579292,NA,41804687.50559769,53733060.12126842,14978113.016997457,NA,30349067.407404967,37172058.93382319,NA,NA,9961928.788499618,NA,NA,17874699.303112913,11127487.829212891,20078570.277698956,14455346.237459851,26301849.713078126,62613805.50671078,27713908.710410774,109105285.76451153,102889050.975402,22010228.519183584,NA,17118859.235151563,38572875.32343741,21551485.470394496,41493576.42621082,NA,13667143.949067127,NA,NA,NA,21342773.7352932,20802640.724053156,67453173.63285148,48554173.79413386,45855765.12207152,NA,NA,NA,NA,NA,NA,5786751.109180785,NA,NA,NA,NA,20014665.727364592,NA,7478175.3514132025,NA,NA,NA,NA,17786528.864746068,NA,NA,7942677.843489014,NA,NA,NA,NA,10382358.410036463,10738115.768408522,NA,NA,18383823.652703974,NA,NA,12460749.173333954,NA,114905125.93299979,NA,NA,NA,NA,NA,130061651.56371076,NA,NA,8663210.079822248,NA,NA,4179095.643199077,NA,NA,NA,NA,7275752.751519587,13722292.538084963,NA
M682T581_NEG,682.4154243022732,581.056640625,1017976.2660552551,NA,888787.2169503404,NA,763020.7442812591,821836.8322499981,NA,NA,NA,756782.5896523431,852413.3061562468,1122325.0178129906,580264.293550786,1113797.85961356,884174.2559196475,2314707.4873102657,1340110.8472531184,1492199.3869497662,NA,1406519.340339292,NA,NA,1597497.3740195362,NA,NA,1287453.5029754466,1297293.2532232269,873916.922354498,1486848.0886875042,1095257.2717773411,648921.7932539077,984202.6560468844,1822724.137460939,NA,NA,385751.6825390645,NA,1308707.99901675,916755.5379433612,431438.40844843787,1509348.6768526682,1740072.2279665214,541955.4870892842,NA,698699.4982756667,840771.6850647358,NA,315528.3941015636,365732.86788365175,NA,NA,367373.78300049034,384885.1378320323,876655.0074312976,NA,1057562.5436074245,NA,451753.1390156231,755288.9685249988,1170671.7523007873,NA,NA,375994.92854687513,NA,673026.4155758872,1546711.6750814742,370311.0657368858,NA,NA,NA,NA,968952.7633798822,NA,868319.4283593702,1336289.8455859285,1072527.156361608,NA,NA,906578.6946361562,NA,NA,NA,557201.2368750008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809645.574814454,357814.86818749976,541177.6161109075,NA,NA,NA,NA,NA,499934.5115380837,NA,NA,NA,NA,NA,696931.8228635257,NA,1865190.798281252,NA,NA,NA,NA,NA,1124974.0922589325,NA,575312.4428554677,NA,NA,NA,558950.4138417954,122409.65499414233,414390.7914000041,NA,NA,460099.6152723234,460046.951035553,NA
M797T663_NEG,797.4672770774506,663.177734375,83366833.00728779,NA,NA,93134469.63802713,NA,NA,NA,NA,258186764.04795983,91002567.64363265,92661566.66201489,98425952.53594925,33328692.658845466,124428011.52467671,973580549.7456986,66935888.77554695,NA,56311268.54786445,NA,311572543.2735827,84269993.51953143,NA,266515447.40664542,3290253.031397938,1747674.3809765591,NA,NA,NA,NA,NA,NA,NA,NA,158507726.96312198,NA,NA,NA,3458302.966708301,NA,37575672.65343596,299590769.2428968,648155351.6861668,NA,3721000.283710946,NA,30226850.042182896,NA,131791323.65603277,3258585.765710932,NA,NA,NA,NA,68391697.93336019,NA,NA,NA,NA,NA,NA,NA,NA,NA,18741969.566609923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956866.8121646227,NA,19632572.347704984,43374186.98757948,9182080.1855837,NA,NA,1990443.6778014344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562417.5876415953,NA,2675429.882408799,NA,NA,NA,NA,2252288.6283759903,NA,42424702.03470128,NA,1049078.34758203,NA,NA,NA,2574187.9205598105,1155274.9324218684
M811T568_NEG,811.4469004752743,568.4849853515625,11938117.342233187,10447424.713400345,10934689.428623036,NA,13107308.834069094,13409995.76684522,10522179.51918757,17751929.793268334,17861584.1700536,10763220.973057969,10728592.018371116,11709932.810531233,NA,NA,143553127.7056211,5299970.1385312285,NA,14753853.11306116,NA,50704306.950729124,19651651.90297314,NA,32274042.786004554,NA,NA,NA,25136634.087210897,40406889.555684775,NA,44166037.2118711,82288803.71681245,19905978.962884028,NA,36649657.10400894,NA,9883644.261922762,1026996.9901586194,NA,30470585.325525045,11564355.871418018,60481223.97490599,56518485.47324975,NA,NA,NA,NA,3537393.213942252,18836761.046869557,NA,NA,NA,NA,NA,20060668.21424535,NA,NA,NA,15993748.871463675,NA,NA,NA,NA,NA,NA,111732697.43037382,122758522.75118615,6877099.394482007,NA,NA,NA,NA,NA,NA,NA,33339915.762012586,NA,NA,NA,NA,NA,NA,NA,3066042.2934208983,NA,NA,NA,NA,23497309.446816266,2400287.8231407236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2061219.5066750664,NA,895783.0666023949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250787.935650784,NA
